player,season,matches,runs,balls_faced,strike_rate,wickets,overs_bowled,economy,catches,run_outs
TH David,2022,8,186,86,216.28,0,0,,6,0
KH Pandya,2022,13,183,145,126.21,10,38,6.97,7,1
R Parag,2022,14,183,132,138.64,1,4,14.75,17,0
AR Patel,2022,13,182,120,151.67,6,43,7.47,8,0
VR Iyer,2022,12,182,169,107.69,0,4,11.5,4,1
RK Singh,2022,7,174,117,148.72,0,0,,9,1
SW Billings,2022,8,169,138,122.46,0,0,,6,0
A Badoni,2022,11,161,130,123.85,2,2,5.5,8,1
D Brevis,2022,7,161,113,142.48,1,0.3,16,3,0
Lalit Yadav,2022,8,161,146,110.27,4,18,8.33,6,1
MS Wade,2022,10,157,138,113.77,0,0,,7,1
MP Stoinis,2022,10,156,106,147.17,4,7,11.29,4,0
B Sai Sudharsan,2022,5,145,114,127.19,0,0,,1,0
KA Pollard,2022,11,144,134,107.46,4,14,8.93,7,0
AM Rahane,2022,7,133,128,103.91,0,0,,3,1
Anuj Rawat,2022,8,129,118,109.32,0,0,,6,0
SN Thakur,2022,14,120,87,137.93,15,48.2,9.79,6,0
M Shahrukh Khan,2022,8,117,108,108.33,0,0,,3,0
RA Jadeja,2022,10,116,98,118.37,5,33,7.52,7,0
A Manohar,2022,7,108,75,144,0,0,,4,0
Washington Sundar,2022,8,101,69,146.38,6,28,8.54,1,0
Rashid Khan,2022,16,91,44,206.82,19,63.5,6.6,7,0
SN Khan,2022,5,91,67,135.82,0,0,,2,0
MK Pandey,2022,6,88,80,110,0,0,,3,0
AJ Finch,2022,5,86,61,140.98,0,0,,1,0
MK Lomror,2022,5,86,57,150.88,0,2,9,2,0
RD Chahar,2022,13,77,68,113.24,14,46.4,7.71,4,0
E Lewis,2022,5,73,56,130.36,0,0,,3,0
SP Narine,2022,14,71,40,177.5,9,56,5.57,2,0
Shashank Singh,2022,5,69,47,146.81,0,2,10,3,0
SS Prabhudessai,2022,5,67,59,113.56,0,0,,5,2
PJ Cummins,2022,5,63,24,262.5,7,19.5,10.69,1,0
JD Unadkat,2022,5,59,37,159.46,6,20,9.5,1,0
JO Holder,2022,12,58,44,131.82,14,41.3,9.42,4,0
R Shepherd,2022,3,58,41,141.46,3,9,10.89,0,0
UT Yadav,2022,12,55,40,137.5,16,48,7.06,3,0
OF Smith,2022,6,51,44,115.91,6,15,11.87,2,0
K Rabada,2022,13,48,43,111.63,23,48,8.46,2,0
Kuldeep Yadav,2022,14,48,52,92.31,21,49.4,8.44,4,0
PK Garg,2022,2,46,33,139.39,0,0,,3,0
Ramandeep Singh,2022,4,45,40,112.5,6,6,9,0,1
D Pretorius,2022,6,44,28,157.14,6,21,10,2,0
HR Shokeen,2022,5,43,48,89.58,2,15,8.47,2,0
HV Patel,2022,15,43,39,110.26,19,53.3,7.66,2,0
PVD Chameera,2022,12,43,28,153.57,9,44,8.73,2,0
N Jagadeesan,2022,2,40,37,108.11,0,0,,0,0
TA Boult,2022,16,40,29,137.93,16,62,7.94,2,0
DR Sams,2022,11,38,36,105.56,13,42,8.81,7,0
PWH de Silva,2022,16,38,43,88.37,26,57,7.54,1,1
R Dhawan,2022,6,37,40,92.5,6,19,8.21,2,1
DJ Mitchell,2022,2,33,44,75,0,2,13.5,2,0
SE Rutherford,2022,2,33,50,66,0,0,,0,0
JDS Neesham,2022,2,31,27,114.81,0,3,9.67,1,0
Mohammed Siraj,2022,15,30,33,90.91,9,51,10.08,5,0
B Kumar,2022,14,24,26,92.31,12,52.1,7.34,2,1
TL Seifert,2022,2,24,19,126.32,0,0,,1,0
DJ Bravo,2022,10,23,24,95.83,16,34.2,8.71,3,0
Mohsin Khan,2022,9,23,16,143.75,14,33,5.97,1,0
SP Jackson,2022,5,23,26,88.46,0,0,,5,0
Avesh Khan,2022,13,22,13,169.23,19,47.4,8.73,2,0
HE van der Dussen,2022,3,22,24,91.67,0,0,,0,1
Harpreet Brar,2022,5,22,25,88,4,16,9.12,3,0
MJ Santner,2022,6,22,27,81.48,4,19,6.84,1,1
Arshdeep Singh,2022,14,21,29,72.41,10,50,7.7,4,0
B Indrajith,2022,3,21,30,70,0,0,,1,1
M Vohra,2022,1,19,11,172.73,0,0,,0,0
V Shankar,2022,4,19,35,54.29,0,1.3,10,3,1
DJ Willey,2022,4,18,30,60,1,11,6.55,1,0
JR Hazlewood,2022,12,18,26,69.23,20,46.3,8.11,0,0
Mandeep Singh,2022,3,18,23,78.26,0,0,,1,0
KK Nair,2022,2,16,18,88.89,0,0,,1,0
P Simran Singh,2022,1,14,11,127.27,0,0,,0,0
Anmolpreet Singh,2022,2,13,13,100,0,0,,0,0
CV Varun,2022,11,12,18,66.67,6,39.1,8.45,2,0
M Ashwin,2022,8,12,14,85.71,9,29,7.86,0,0
CJ Jordan,2022,4,11,8,137.5,2,12.5,10.52,4,0
RA Bawa,2022,2,11,14,78.57,0,0,,0,0
M Jansen,2022,8,9,7,128.57,7,32,8.56,3,0
S Gopal,2022,1,9,7,128.57,1,3,11.33,0,0
FA Allen,2022,1,8,7,114.29,1,4,11.5,0,0
KS Bharat,2022,2,8,7,114.29,0,0,,0,0
OC McCoy,2022,7,8,5,160,11,26,9.08,1,0
Kartik Tyagi,2022,2,7,6,116.67,1,8,9.88,0,0
M Theekshana,2022,9,7,7,100,12,35,7.46,0,0
Rasikh Salam,2022,2,7,6,116.67,0,4,7,0,0
SA Abbott,2022,1,7,5,140,1,4,11.75,0,0
Simarjeet Singh,2022,6,7,8,87.5,4,18,7.67,1,0
M Prasidh Krishna,2022,17,6,12,50,19,66.3,8.29,2,1
Mukesh Choudhary,2022,13,6,6,100,16,45.3,9.32,3,0
RV Patel,2022,1,6,3,200,0,0,,1,0
AS Joseph,2022,9,5,7,71.43,7,30,8.8,1,1
Aman Hakim Khan,2022,1,5,3,166.67,0,1,13,0,0
LH Ferguson,2022,13,5,4,125,12,47.4,8.96,2,0
VG Arora,2022,5,5,13,38.46,3,17.5,9.2,1,0
YS Chahal,2022,17,5,8,62.5,27,68,7.75,0,0
A Tomar,2022,1,4,8,50,0,0,,0,0
Abdul Samad,2022,2,4,7,57.14,0,1,8,1,0
KS Sharma,2022,1,4,4,100,0,0,,0,0
PN Mankad,2022,1,4,1,400,0,0,,1,0
Umran Malik,2022,14,4,8,50,22,49.2,8.98,3,0
K Kartikeya,2022,4,3,5,60,5,13,7.85,0,0
Mustafizur Rahman,2022,8,3,5,60,8,32,7.62,1,0
Shivam Mavi,2022,6,3,7,42.86,5,22,10.32,4,0
Fazalhaq Farooqi,2022,3,2,8,25,2,12,9.17,0,0
Harshit Rana,2022,2,2,2,100,1,5,10.2,0,0
J Suchith,2022,5,2,8,25,7,18,7.78,3,0
Navdeep Saini,2022,2,2,2,100,3,6,12,2,0
PJ Sangwan,2022,3,2,5,40,3,9,7.22,1,0
T Stubbs,2022,2,2,4,50,0,0,,0,0
TG Southee,2022,9,2,12,16.67,14,35,7.86,3,0
A Nortje,2022,6,1,6,16.67,9,22.2,9.72,2,0
NM Coulter-Nile,2022,1,1,2,50,0,3,16,0,0
AF Milne,2022,1,0,0,,0,2.3,7.6,0,0
AJ Tye,2022,3,0,0,,2,11,9.73,1,0
AS Roy,2022,2,0,2,0,1,7,7.86,1,0
Akash Deep,2022,5,0,2,0,5,18.5,10.88,1,0
Basil Thampi,2022,5,0,0,,5,16,9.5,1,0
C Sakariya,2022,3,0,0,,3,11,7.64,2,0
DG Nalkande,2022,2,0,0,,2,5.1,11.42,0,0
JJ Bumrah,2022,14,0,8,0,15,53.2,7.18,1,0
K Gowtham,2022,4,0,1,0,5,12,8.25,4,0
KK Ahmed,2022,10,0,2,0,16,39.1,8.04,0,0
KL Nagarkoti,2022,1,0,0,,0,2,14.5,2,0
KR Sen,2022,7,0,3,0,8,25.1,9.42,2,0
M Markande,2022,2,0,0,,1,7,8.14,2,0
M Pathirana,2022,2,0,0,,2,6.5,7.61,1,0
Mohammed Shami,2022,16,0,0,,20,61,8,3,0
NT Ellis,2022,2,0,2,0,3,6,9.17,1,0
PH Solanki,2022,2,0,0,,2,6,6.33,0,0
R Sai Kishore,2022,5,0,0,,6,16,7.56,3,0
R Sanjay Yadav,2022,1,0,2,0,0,2,11.5,0,0
RP Meredith,2022,8,0,1,0,8,28,8.43,1,0
Ravi Bishnoi,2022,14,0,1,0,13,54,8.44,3,1
S Kaul,2022,1,0,0,,0,4,10.75,0,0
Sandeep Sharma,2022,5,0,0,,2,20,7.65,2,0
T Natarajan,2022,11,0,0,,18,43,9.44,1,1
TS Mills,2022,5,0,3,0,6,17,11.18,0,0
TU Deshpande,2022,2,0,0,,1,7,9,1,0
VR Aaron,2022,2,0,0,,2,5,10.4,0,0
Yash Dayal,2022,9,0,1,0,11,32,9.25,1,0
Shubman Gill,2023,17,890,564,157.8,0,0,,6,0
F du Plessis,2023,14,730,475,153.68,0,0,,3,0
DP Conway,2023,15,672,481,139.71,0,0,,6,0
V Kohli,2023,14,639,457,139.82,0,0,,13,0
YBK Jaiswal,2023,14,625,382,163.61,0,0,,8,2
SA Yadav,2023,16,605,334,181.14,0,0,,6,0
RD Gaikwad,2023,15,590,400,147.5,0,0,,17,0
DA Warner,2023,14,516,392,131.63,0,0,,7,0
RK Singh,2023,14,474,317,149.53,0,0,,8,0
Ishan Kishan,2023,15,454,318,142.77,0,0,,10,3
C Green,2023,16,452,282,160.28,7,38,9.5,5,0
H Klaasen,2023,11,448,253,177.08,0,0,,3,4
S Dube,2023,14,418,264,158.33,0,0,,6,0
N Rana,2023,14,413,293,140.96,3,8.5,8.49,3,0
MP Stoinis,2023,15,408,272,150,5,10.5,9.23,4,0
VR Iyer,2023,14,404,277,145.85,0,0,,3,0
GJ Maxwell,2023,14,400,218,183.49,3,10.2,9.1,4,0
JC Buttler,2023,14,392,282,139.01,0,0,,9,2
KR Mayers,2023,13,379,263,144.11,0,7,8.43,2,0
S Dhawan,2023,11,373,261,142.91,0,0,,4,0
WP Saha,2023,17,371,287,129.27,0,0,,9,4
B Sai Sudharsan,2023,8,362,256,141.41,0,0,,2,0
SV Samson,2023,14,362,236,153.39,0,0,,3,3
N Pooran,2023,15,358,207,172.95,0,0,,6,0
P Simran Singh,2023,14,358,238,150.42,0,0,,1,0
HH Pandya,2023,15,346,253,136.76,3,25,9.12,7,0
Tilak Varma,2023,11,343,209,164.11,0,1,7,4,0
RG Sharma,2023,16,332,250,132.8,0,0,,1,2
AM Rahane,2023,11,326,189,172.49,0,0,,8,1
JM Sharma,2023,14,309,198,156.06,0,0,,3,1
V Shankar,2023,10,301,188,160.11,0,0,,2,1
SO Hetmyer,2023,13,299,197,151.78,0,0,,11,0
JJ Roy,2023,8,285,188,151.6,0,0,,2,0
AR Patel,2023,13,283,203,139.41,11,47,7.19,7,0
LS Livingstone,2023,9,279,171,163.16,2,7,13.43,3,0
SM Curran,2023,14,276,203,135.96,10,47.5,10.22,5,0
KL Rahul,2023,9,274,242,113.22,0,0,,4,0
RA Tripathi,2023,13,273,213,128.17,0,0,,2,0
MA Agarwal,2023,10,270,210,128.57,0,0,,6,0
D Padikkal,2023,11,261,200,130.5,0,0,,4,0
DA Miller,2023,13,259,178,145.51,0,0,,11,0
AK Markram,2023,13,248,197,125.89,1,8.1,8.57,10,0
N Wadhera,2023,10,241,166,145.18,0,0,,4,1
A Badoni,2023,12,238,172,138.37,0,0.1,0,2,0
TH David,2023,15,231,146,158.22,0,0,,10,1
AD Russell,2023,14,227,156,145.51,7,15.1,11.34,6,1
Rahmanullah Gurbaz,2023,11,227,170,133.53,0,0,,10,0
Abhishek Sharma,2023,11,226,157,143.95,2,12,10.33,4,0
PD Salt,2023,9,218,133,163.91,0,0,,5,1
RR Rossouw,2023,9,209,141,148.23,0,0,,3,0
HC Brook,2023,11,190,154,123.38,0,0,,3,0
RA Jadeja,2023,16,190,133,142.86,20,57,7.56,7,0
KH Pandya,2023,14,188,165,113.94,9,42,7.45,8,0
Atharva Taide,2023,7,186,129,144.19,0,0,,5,0
Abdul Samad,2023,8,169,128,132.03,0,0,,4,0
MK Pandey,2023,9,160,146,109.59,0,0,,3,0
AT Rayudu,2023,12,158,113,139.82,0,0,,2,0
M Shahrukh Khan,2023,12,156,94,165.96,0,0,,7,1
Dhruv Jurel,2023,11,152,88,172.73,0,0,,1,0
Q de Kock,2023,4,143,102,140.2,0,0,,2,1
KD Karthik,2023,13,140,104,134.62,0,0,,8,1
Sikandar Raza,2023,7,139,98,141.84,3,12.1,9.7,5,0
MK Lomror,2023,10,135,97,139.18,0,2,8.5,4,0
Rashid Khan,2023,17,130,60,216.67,27,67,8.24,9,1
MR Marsh,2023,9,128,97,131.96,12,20.1,8.43,3,0
MM Ali,2023,11,124,91,136.26,9,26,7.5,3,2
MW Short,2023,6,117,92,127.17,0,4,6.25,5,0
A Manohar,2023,6,114,83,137.35,0,0,,4,1
SN Thakur,2023,9,113,70,161.43,7,21,10.48,4,0
Aman Hakim Khan,2023,9,110,101,108.91,0,0,,9,0
PP Shaw,2023,8,106,85,124.71,0,0,,1,0
Anmolpreet Singh,2023,4,105,82,128.05,0,0,,1,0
MS Dhoni,2023,12,104,57,182.46,0,0,,7,3
PN Mankad,2023,4,93,72,129.17,0,0,,5,0
Anuj Rawat,2023,7,91,71,128.17,0,0,,3,2
N Jagadeesan,2023,6,89,81,109.88,0,0,,1,0
R Tewatia,2023,10,87,57,152.63,0,2.1,6.92,8,0
DJ Hooda,2023,12,84,90,93.33,0,1,8,10,1
R Parag,2023,7,78,66,118.18,0,0,,1,0
Harpreet Singh,2023,3,76,59,128.81,0,0,,1,0
PBB Rajapaksa,2023,4,71,62,114.52,0,0,,0,0
Vivrant Sharma,2023,2,69,47,146.81,0,3,12.33,0,0
R Ashwin,2023,13,67,51,131.37,15,49,7.51,1,0
Lalit Yadav,2023,6,66,59,111.86,2,13,9.08,4,0
K Gowtham,2023,7,61,37,164.86,3,16,7.38,6,0
Washington Sundar,2023,7,60,60,100,3,17.4,8.26,2,0
MG Bracewell,2023,5,58,47,123.4,6,11,8.64,1,0
SN Khan,2023,4,53,62,85.48,0,0,,2,0
Harpreet Brar,2023,11,52,41,126.83,9,27.1,8.02,2,0
RV Patel,2023,4,49,43,113.95,0,0,,1,0
B Kumar,2023,14,42,47,89.36,16,51,8.33,2,0
Shahbaz Ahmed,2023,6,42,39,107.69,1,7,13.57,5,0
GD Phillips,2023,5,39,22,177.27,1,3,6.67,2,0
M Jansen,2023,8,39,43,90.7,10,27.1,9.79,3,0
A Nortje,2023,10,37,29,127.59,10,40,9.1,1,0
Vishnu Vinod,2023,3,37,31,119.35,0,0,,1,0
DJ Willey,2023,4,35,32,109.38,3,15,7,1,0
SS Prabhudessai,2023,4,35,29,120.69,0,0,,5,1
Abishek Porel,2023,4,33,31,106.45,0,0,,4,0
PWH de Silva,2023,8,33,28,117.86,9,29,8.9,0,1
Kuldeep Yadav,2023,14,31,48,64.58,10,49,7.37,1,0
MD Shanaka,2023,3,26,26,100,0,0,,2,0
PP Chawla,2023,16,25,22,113.64,22,61,8.11,1,0
T Stubbs,2023,2,25,31,80.65,1,2,7,0,0
AS Roy,2023,4,23,19,121.05,3,8,8.12,3,1
HR Shokeen,2023,8,23,17,135.29,3,19,9.84,3,0
AU Rashid,2023,2,22,16,137.5,2,7,8,0,0
PK Garg,2023,2,22,23,95.65,0,0,,0,0
D Wiese,2023,3,21,11,190.91,0,3,12.67,3,0
M Markande,2023,10,21,13,161.54,12,38,7.89,0,0
SP Narine,2023,14,21,25,84,11,48,7.98,1,0
R Dhawan,2023,4,20,12,166.67,1,7,8.57,3,0
Ravi Bishnoi,2023,14,20,27,74.07,16,50.3,7.74,8,0
A Mishra,2023,7,19,30,63.33,7,19,7.84,1,1
UT Yadav,2023,8,19,18,105.56,1,19,9.95,3,0
Umran Malik,2023,8,19,8,237.5,5,20,10.85,1,1
Arshad Khan,2023,6,18,15,120,5,14.1,13.41,1,0
Akash Deep,2023,2,17,8,212.5,1,5,11.8,1,0
AJ Hosein,2023,1,16,10,160,1,4,10,0,0
Naveen-ul-Haq,2023,7,16,21,76.19,11,28.1,7.74,2,0
P Dubey,2023,1,16,20,80,1,3,6.33,0,0
TA Boult,2023,10,16,14,114.29,13,38,8.21,3,0
YV Dhull,2023,3,16,23,69.57,0,0,,2,1
BA Stokes,2023,2,15,14,107.14,0,1,18,2,0
Mandeep Singh,2023,3,14,16,87.5,0,0,,0,0
Arjun Tendulkar,2023,4,13,9,144.44,3,9.5,9.36,0,0
Vijaykumar Vyshak,2023,7,13,9,144.44,9,24,10.54,1,0
JO Holder,2023,8,12,11,109.09,4,28.3,9.96,3,0
KM Jadhav,2023,1,12,10,120,0,0,,1,0
KS Sharma,2023,2,12,21,57.14,0,0,,0,0
MA Wood,2023,4,11,5,220,11,16,8.12,2,0
Sanvir Singh,2023,2,11,9,122.22,0,0,,0,0
A Zampa,2023,6,10,16,62.5,8,22,8.55,0,0
JE Root,2023,1,10,15,66.67,0,2,7,2,0
M Vohra,2023,1,10,11,90.91,0,0,,0,0
JD Unadkat,2023,3,9,7,128.57,0,8,11.5,0,0
Noor Ahmad,2023,13,8,9,88.89,16,47.1,7.82,1,0
AS Joseph,2023,7,7,12,58.33,7,24,9.38,2,0
Mukesh Kumar,2023,10,7,9,77.78,8,31,10.52,1,1
R Powell,2023,3,7,9,77.78,1,2,9,0,0
CJ Jordan,2023,6,6,12,50,3,22,10.77,1,0
HV Patel,2023,13,6,6,100,14,47.1,9.6,2,0
JP Behrendorff,2023,12,6,9,66.67,14,42,9.21,2,0
K Kartikeya,2023,8,6,7,85.71,5,26,8.73,1,0
Mohammed Shami,2023,17,5,6,83.33,28,65.1,7.99,4,0
C Sakariya,2023,2,4,6,66.67,3,8,11.12,0,0
JC Archer,2023,5,4,4,100,2,20,9.5,0,0
Liton Das,2023,1,4,4,100,0,0,,0,0
KV Sharma,2023,7,3,5,60,10,21.3,10.37,0,0
VG Arora,2023,5,3,2,150,5,16,9.12,3,0
Arshdeep Singh,2023,14,2,2,100,17,50.5,9.7,1,0
MJ Santner,2023,3,2,4,50,3,12,6.75,1,0
Sandeep Sharma,2023,12,2,6,33.33,10,46,8.61,4,0
Swapnil Singh,2023,2,2,4,50,0,2,9,0,0
WD Parnell,2023,7,2,5,40,9,25.1,9.38,4,0
Abdul Basith,2023,1,1,1,100,0,0,,0,0
CV Varun,2023,14,1,9,11.11,20,52.4,8.15,3,0
DL Chahar,2023,10,1,2,50,13,34,8.74,1,0
Fazalhaq Farooqi,2023,4,1,5,20,4,13.2,8.78,1,0
I Sharma,2023,8,1,1,100,10,25,8.24,0,0
JR Hazlewood,2023,3,1,2,50,3,9,8.44,0,0
Mohammed Siraj,2023,14,1,2,50,19,50,7.5,4,1
Mohit Rathee,2023,1,1,2,50,0,2,14.5,0,0
Mustafizur Rahman,2023,2,1,1,100,1,7,11.29,0,0
NT Ellis,2023,10,1,7,14.29,13,38,8.92,1,0
Yudhvir Singh,2023,3,1,2,50,3,8,8.75,0,0
Akash Madhwal,2023,8,0,0,,15,25.3,8.59,0,0
Akash Singh,2023,6,0,0,,5,19,9.89,1,0
Avesh Khan,2023,9,0,1,0,8,29,9.76,2,0
D Ferreira,2023,0,0,0,,0,0,,1,0
D Jansen,2023,1,0,0,,1,4,13.25,2,0
D Pretorius,2023,1,0,0,,0,4,7,1,0
DG Nalkande,2023,1,0,1,0,1,4,11,0,0
DR Sams,2023,0,0,0,,0,0,,1,0
Gurnoor Brar,2023,1,0,0,,0,3,14,0,0
H Sharma,2023,1,0,0,,0,3,9.33,0,0
Harshit Rana,2023,6,0,1,0,5,17,8.65,2,0
J Little,2023,10,0,0,,7,34,8.65,5,0
J Yadav,2023,1,0,0,,0,4,6.5,2,0
K Khejroliya,2023,2,0,0,,2,4.2,14.77,0,0
K Rabada,2023,6,0,2,0,7,23.1,9.97,0,0
K Yadav,2023,2,0,0,,2,7,9.71,0,0
KK Ahmed,2023,9,0,0,,9,33,9.12,2,1
KM Asif,2023,4,0,2,0,3,14.1,9.67,1,0
KR Sen,2023,2,0,0,,0,3,9.33,0,0
KS Bharat,2023,0,0,0,,0,0,,1,0
Kartik Tyagi,2023,3,0,0,,1,6.1,14.92,0,0
LH Ferguson,2023,3,0,0,,1,7.4,12.52,0,0
M Ashwin,2023,2,0,0,,0,4,13.25,0,0
M Pathirana,2023,12,0,0,,19,46.2,8.01,4,0
M Theekshana,2023,13,0,0,,11,49,8,3,0
MM Sharma,2023,14,0,1,0,27,44.1,8.17,5,1
Mayank Dagar,2023,3,0,0,,1,11,7.55,0,0
Mohsin Khan,2023,4,0,7,0,3,10,10.7,0,0
NA Saini,2023,1,0,0,,0,2,17,0,0
Navdeep Saini,2023,1,0,0,,3,4,10,0,0
Nithish Kumar Reddy,2023,2,0,0,,0,5,10.8,1,0
OC McCoy,2023,1,0,0,,0,1,13,0,0
R Goyal,2023,1,0,0,,0,4,8.25,1,0
R Shepherd,2023,1,0,1,0,0,0,,0,0
RD Chahar,2023,14,0,9,0,8,49.4,7.75,4,0
RJW Topley,2023,1,0,0,,1,2,7,0,0
RP Meredith,2023,5,0,2,0,7,19.4,10.53,1,0
RS Hangargekar,2023,2,0,0,,3,6,10,0,0
Ramandeep Singh,2023,0,0,0,,0,0,,3,0
SK Rasheed,2023,0,0,0,,0,0,,1,0
SSB Magala,2023,2,0,0,,1,6,8.5,1,0
Shivam Mavi,2023,0,0,0,,0,0,,1,0
Sonu Yadav,2023,0,0,0,,0,0,,0,1
Subhransu Senapati,2023,0,0,0,,0,0,,0,1
Suyash Sharma,2023,11,0,0,,10,39,8.23,0,0
T Natarajan,2023,12,0,0,,10,45,9.11,3,2
TG Southee,2023,2,0,0,,2,6,13.17,0,0
TU Deshpande,2023,16,0,1,0,21,57,9.88,2,0
YS Chahal,2023,14,0,0,,21,52.5,8.18,1,0
Yash Dayal,2023,5,0,0,,2,14,11.79,1,0
Yash Thakur,2023,9,0,0,,13,31.5,9.08,1,1
V Kohli,2024,15,741,479,154.7,0,0,,8,3
RD Gaikwad,2024,14,583,413,141.16,0,0,,5,0
R Parag,2024,14,573,384,149.22,0,3,9,7,0
TM Head,2024,15,567,296,191.55,0,1.4,19.2,0,0
SV Samson,2024,15,531,346,153.47,0,0,,6,2
B Sai Sudharsan,2024,12,527,373,141.29,0,0,,0,0
KL Rahul,2024,14,520,382,136.13,0,0,,15,0
N Pooran,2024,14,499,280,178.21,0,0,,7,1
SP Narine,2024,14,488,270,180.74,17,55,6.69,7,1
Abhishek Sharma,2024,16,484,237,204.22,2,7,7.29,7,0
H Klaasen,2024,15,479,280,171.07,0,0,,8,0
RR Pant,2024,13,446,287,155.4,0,0,,11,0
F du Plessis,2024,15,438,271,161.62,0,0,,8,0
PD Salt,2024,12,435,239,182.01,0,0,,12,2
YBK Jaiswal,2024,15,435,279,155.91,0,0,,4,0
Shubman Gill,2024,12,426,289,147.4,0,0,,1,0
RG Sharma,2024,14,417,278,150,0,0,,3,0
Tilak Varma,2024,13,416,278,149.64,0,0.4,12,9,1
S Dube,2024,14,396,244,162.3,1,1,14,2,0
RM Patidar,2024,13,395,223,177.13,0,0,,3,0
MP Stoinis,2024,14,388,263,147.53,4,14,9,4,0
T Stubbs,2024,13,378,198,190.91,3,2,7.5,7,1
VR Iyer,2024,13,370,233,158.8,0,1,28,4,0
JC Buttler,2024,11,359,255,140.78,0,0,,3,1
Shashank Singh,2024,14,354,215,164.65,1,1,5,7,1
SS Iyer,2024,14,351,239,146.86,0,0,,10,1
SA Yadav,2024,11,345,206,167.48,0,0,,4,0
P Simran Singh,2024,14,334,213,156.81,0,0,,1,0
J Fraser-McGurk,2024,9,330,141,234.04,0,0,,5,1
Abishek Porel,2024,12,327,205,159.51,0,0,,2,1
KD Karthik,2024,13,326,174,187.36,0,0,,4,1
Ishan Kishan,2024,14,320,215,148.84,0,0,,9,2
DJ Mitchell,2024,13,318,223,142.6,1,6,11.67,9,0
Nithish Kumar Reddy,2024,11,303,212,142.92,3,13.1,11.62,5,1
JM Bairstow,2024,11,298,195,152.82,0,0,,8,1
SM Curran,2024,13,270,219,123.29,16,41,10.15,7,0
RA Jadeja,2024,14,267,187,142.78,8,47,7.85,6,0
C Green,2024,13,255,178,143.26,10,35.1,8.62,5,1
Q de Kock,2024,11,250,186,134.41,0,0,,3,1
AM Rahane,2024,12,242,196,123.47,0,0,,1,0
TH David,2024,11,241,152,158.55,0,0,,6,0
A Badoni,2024,12,235,171,137.43,0,2,12.5,3,0
AR Patel,2024,14,235,179,131.28,11,44,7.66,11,0
WG Jacks,2024,8,230,131,175.57,2,9,11.11,3,0
AD Russell,2024,14,222,120,185,19,29.2,10.06,3,0
R Ravindra,2024,10,222,138,160.87,0,2,3.5,8,1
AK Markram,2024,11,220,177,124.29,0,2,7.5,5,0
HH Pandya,2024,13,216,151,143.05,11,36,10.75,4,0
Shahbaz Ahmed,2024,15,215,166,129.52,7,27.3,9.82,3,1
RR Rossouw,2024,8,211,116,181.9,0,0,,4,0
DA Miller,2024,9,210,139,151.08,0,0,,5,1
PP Shaw,2024,8,198,121,163.64,0,0,,2,0
Dhruv Jurel,2024,11,195,141,138.3,0,0,,11,0
Ashutosh Sharma,2024,9,189,113,167.26,0,0,,2,0
R Tewatia,2024,9,188,129,145.74,0,0,,6,0
JM Sharma,2024,12,187,142,131.69,0,0,,13,2
SD Hope,2024,9,183,122,150,0,0,,6,1
Abdul Samad,2024,12,182,108,168.52,0,0,,9,0
DA Warner,2024,8,168,125,134.4,0,0,,5,0
RK Singh,2024,11,168,113,148.67,0,0,,7,0
RA Tripathi,2024,6,165,115,143.48,0,0,,2,0
A Raghuvanshi,2024,7,163,105,155.24,0,0,,4,0
MS Dhoni,2024,11,161,73,220.55,0,0,,10,1
S Dhawan,2024,5,152,121,125.62,0,0,,3,0
DJ Hooda,2024,9,145,105,138.1,0,3,7.33,4,0
Naman Dhir,2024,7,140,79,177.22,0,4.4,11.79,3,1
PJ Cummins,2024,16,136,95,143.16,18,61,9.28,7,1
WP Saha,2024,9,136,115,118.26,0,0,,5,3
KH Pandya,2024,12,133,105,126.67,6,33,7.73,3,0
MM Ali,2024,5,128,98,130.61,2,8,8.88,2,0
M Shahrukh Khan,2024,7,127,75,169.33,0,2,7.5,6,0
MK Lomror,2024,10,125,68,183.82,0,1,18,3,0
Ramandeep Singh,2024,9,125,62,201.61,0,0.4,13.5,8,1
SO Hetmyer,2024,9,113,69,163.77,0,0,,4,0
LS Livingstone,2024,7,111,78,142.31,3,12,7,1,0
N Wadhera,2024,6,109,84,129.76,0,2,6.5,2,0
R Powell,2024,7,103,68,151.47,0,0,,8,0
Rashid Khan,2024,12,102,71,143.66,10,43.4,8.4,6,0
Anuj Rawat,2024,5,98,77,127.27,0,0,,5,0
R Ashwin,2024,14,86,74,116.22,9,55,8.49,4,0
V Shankar,2024,7,83,72,115.28,0,0,,4,0
Arshad Khan,2024,3,78,50,156,1,8.1,11.02,1,0
Harpreet Brar,2024,13,75,54,138.89,7,38,7.97,7,0
D Brevis,2024,3,69,59,116.95,0,0,,1,0
MA Agarwal,2024,4,64,57,112.28,0,0,,2,0
Rahmanullah Gurbaz,2024,2,62,46,134.78,0,0,,5,1
Atharva Taide,2024,2,61,39,156.41,0,0.1,24,0,0
MR Marsh,2024,4,61,38,160.53,1,8,12.88,0,0
R Shepherd,2024,5,57,21,271.43,1,12,13.25,0,0
GJ Maxwell,2024,9,52,43,120.93,6,16,8.06,3,0
Sameer Rizvi,2024,5,51,43,118.6,0,0,,4,0
T Kohler-Cadmore,2024,3,48,54,88.89,0,0,,1,0
Kuldeep Yadav,2024,11,47,41,114.63,16,43,8.65,2,0
